episode,revenue_INR,revenue_gain_pct,avg_utilization,avg_wait_time_min,pricing_efficiency,customer_response_rate
1,3967832.616814099,95.90174430586306,0.3299410506005429,0.0,29.39,0.933
2,3967866.50093401,95.90341724896221,0.32991532407357504,0.0,29.39,0.9309
3,3968658.5585129135,95.9425230974903,0.33001720412679536,0.0,29.39,0.9439
4,3967728.1938887,95.8965886868623,0.33001206915351383,0.0,29.38,0.9396
5,3968442.410974117,95.93185135702971,0.3301287480818551,0.0,29.39,0.9507
6,3968010.735536886,95.91053846929115,0.329883579479285,0.0,29.39,0.9459
7,3968405.0950847026,95.93000897895266,0.33014156910654946,0.0,29.39,0.9399
8,3967935.7222360577,95.90683487644903,0.3299558562124733,0.0,29.39,0.9401
9,3968585.917460468,95.93893662843865,0.3298744719852788,0.0,29.39,0.936
10,3967752.782702787,95.89780269764229,0.3297960322041493,0.0,29.38,0.9347
